"timestamp","on_off","damper","active_energy","co2_1","ambient_humidity","active_power","power_generated","high_pressure_1","high_pressure_2","low_pressure_1","low_pressure_2","high_pressure_3","low_pressure_3","outside_temp","outlet_temp","inlet_temp","summer_SP_temp","winter_SP_temp","ambient_temp"
"2022-06-01 00:00:00.000000000",0,0,762617.8,975,35,0.51,4,15.09,15,15.27,15.1,15.2,15.2,23.9,24.3,22.9,22.5,18,23.4
"2022-06-01 00:05:00.000000000",0,0,\N,977,35,0.51,\N,15.03,14.9,15.21,15,15.2,15.1,23.8,24.3,22.8,22.5,18,23.3
"2022-06-01 00:10:00.000000000",0,0,\N,975,35,0.51,\N,15.03,14.8,15.15,15,15.1,15.1,23.6,24.2,22.6,22.5,18,23.4
"2022-06-01 00:15:00.000000000",0,0,762617.99,975,35,0.51,4,14.96,14.8,15.15,14.9,15.1,15,23.6,24,22.4,22.5,18,23.3
"2022-06-01 00:20:00.000000000",0,0,\N,975,35,0.51,\N,14.9,14.7,15.09,14.9,15,14.9,23.4,24,22.3,22.5,18,23.3
"2022-06-01 00:25:00.000000000",0,0,\N,977,35,0.51,\N,14.9,14.7,14.96,14.9,15,14.9,23.4,23.9,22.1,22.5,18,23.3
"2022-06-01 00:30:00.000000000",0,0,762618.2,972,35,0.51,0,14.84,14.7,14.96,14.8,14.9,14.9,23.3,23.8,22,22.5,18,23.3
"2022-06-01 00:35:00.000000000",0,0,\N,972,35,0.51,\N,14.84,14.6,14.9,14.8,14.8,14.8,23.2,23.7,21.8,22.5,18,23.3
"2022-06-01 00:40:00.000000000",0,0,\N,977,36,0.51,\N,14.78,14.6,14.84,14.7,14.8,14.7,23.1,23.6,21.8,22.5,18,23.3
"2022-06-01 00:45:00.000000000",0,0,762618.39,980,36,0.51,4,14.84,14.5,14.84,14.7,14.8,14.7,23,23.5,21.7,22.5,18,23.3
"2022-06-01 00:50:00.000000000",0,0,\N,975,36,0.51,\N,14.78,14.5,14.78,14.7,14.7,14.6,22.8,23.4,21.7,22.5,18,23.3
"2022-06-01 00:55:00.000000000",0,0,\N,977,36,0.51,\N,14.72,14.5,14.78,14.6,14.7,14.6,22.7,23.3,21.7,22.5,18,23.3
"2022-06-01 01:00:00.000000000",0,0,762618.51,977,36,0.51,4,14.59,14.4,14.72,14.6,14.7,14.6,22.4,23.2,21.6,22.5,18,23.3
"2022-06-01 01:05:00.000000000",0,0,\N,972,36,0.51,\N,14.53,14.4,14.66,14.5,14.6,14.5,22.3,23.2,21.5,22.5,18,23.3
"2022-06-01 01:10:00.000000000",0,0,\N,972,36,0.51,\N,14.47,14.3,14.66,14.5,14.5,14.5,22.3,23.1,21.4,22.5,18,23.3
"2022-06-01 01:15:00.000000000",0,0,762618.72,975,36,0.51,4,14.41,14.3,14.59,14.5,14.5,14.4,22.2,23,21.4,22.5,18,23.3
"2022-06-01 01:20:00.000000000",0,0,\N,972,36,0.51,\N,14.41,14.2,14.59,14.4,14.5,14.4,22.1,22.9,21.3,22.5,18,23.3
"2022-06-01 01:25:00.000000000",0,0,\N,977,36,0.51,\N,14.35,14.2,14.53,14.4,14.4,14.4,22.1,22.8,21.3,22.5,18,23.3
"2022-06-01 01:30:00.000000000",0,0,762618.91,977,36,0.51,4,14.29,14.2,14.47,14.3,14.4,14.4,21.8,22.7,21.3,22.5,18,23.3
"2022-06-01 01:35:00.000000000",0,0,\N,975,36,0.51,\N,14.29,14.2,14.41,14.3,14.3,14.3,21.8,22.6,21.3,22.5,18,23.3
"2022-06-01 01:40:00.000000000",0,0,\N,972,36,0.51,\N,14.22,14.1,14.41,14.3,14.3,14.3,21.7,22.5,21.2,22.5,18,23.3
"2022-06-01 01:45:00.000000000",0,0,762619.1,975,36,0.51,0,14.16,14.1,14.35,14.2,14.2,14.3,21.7,22.5,21.2,22.5,18,23.3
"2022-06-01 01:50:00.000000000",0,0,\N,972,36,0.51,\N,14.1,14.1,14.29,14.2,14.2,14.2,21.7,22.4,21.1,22.5,18,23.3
"2022-06-01 01:55:00.000000000",0,0,\N,977,36,0.51,\N,14.1,14,14.29,14.2,14.1,14.1,21.7,22.3,20.7,22.5,18,23.3
"2022-06-01 02:00:00.000000000",0,0,762619.31,977,36,0.51,4,14.04,14,14.22,14.1,14.1,14.1,21.7,22.2,20.6,22.5,18,23.3
"2022-06-01 02:05:00.000000000",0,0,\N,975,36,0.51,\N,14.04,14,14.16,14.1,14.1,14.1,21.6,22.1,20.6,22.5,18,23.3
"2022-06-01 02:10:00.000000000",0,0,\N,975,36,0.51,\N,13.98,14,14.16,14.1,14,14,21.6,22,20.5,22.5,18,23.3
"2022-06-01 02:15:00.000000000",0,0,762619.5,977,36,0.51,4,13.98,13.9,14.16,14.1,14,13.9,21.6,22,20.5,22.5,18,23.3
"2022-06-01 02:20:00.000000000",0,0,\N,980,36,0.51,\N,13.98,13.9,14.16,14,14,13.9,21.5,21.9,20.4,22.5,18,23.3
"2022-06-01 02:25:00.000000000",0,0,\N,977,36,0.51,\N,13.98,13.9,14.1,14,13.9,13.9,21.3,21.9,20.3,22.5,18,23.3
"2022-06-01 02:30:00.000000000",0,0,762619.69,972,36,0.51,4,13.92,13.9,14.1,14,13.9,13.8,21.2,21.8,20.2,22.5,18,23.3
"2022-06-01 02:35:00.000000000",0,0,\N,975,36,0.51,\N,13.86,13.8,14.04,13.9,13.9,13.8,21,21.7,20.2,22.5,18,23.3
"2022-06-01 02:40:00.000000000",0,0,\N,977,36,0.51,\N,13.86,13.7,14.04,13.9,13.8,13.8,20.8,21.7,20,22.5,18,23.3
"2022-06-01 02:45:00.000000000",0,0,762619.9,977,37,0.51,4,13.79,13.7,13.92,13.8,13.8,13.8,20.6,21.6,19.8,22.5,18,23.3
"2022-06-01 02:50:00.000000000",0,0,\N,977,37,0.51,\N,13.73,13.6,13.86,13.8,13.8,13.7,20.5,21.5,19.7,22.5,18,23.3
"2022-06-01 02:55:00.000000000",0,0,\N,975,37,0.51,\N,13.67,13.6,13.86,13.7,13.7,13.7,20.4,21.4,19.5,22.5,18,23.3
"2022-06-01 03:00:00.000000000",0,0,762620.02,977,37,0.51,0,13.61,13.5,13.79,13.7,13.7,13.7,20.5,21.3,19.3,22.5,18,23.3
"2022-06-01 03:05:00.000000000",0,0,\N,977,37,0.51,\N,13.55,13.5,13.73,13.7,13.7,13.6,20.3,21.2,19.2,22.5,18,23.3
"2022-06-01 03:10:00.000000000",0,0,\N,975,37,0.51,\N,13.49,13.4,13.67,13.6,13.6,13.5,20.2,21.1,19,22.5,18,23.3
"2022-06-01 03:15:00.000000000",0,0,762620.21,975,37,0.51,4,13.49,13.3,13.61,13.5,13.6,13.5,20,21,18.8,22.5,18,23.3
"2022-06-01 03:20:00.000000000",0,0,\N,972,37,0.51,\N,13.42,13.3,13.55,13.5,13.5,13.5,19.8,20.8,18.6,22.5,18,23.3
"2022-06-01 03:25:00.000000000",0,0,\N,977,37,0.51,\N,13.36,13.2,13.55,13.4,13.5,13.4,19.7,20.7,18.5,22.5,18,23.3
"2022-06-01 03:30:00.000000000",0,0,762620.42,977,37,0.51,4,13.3,13.2,13.49,13.4,13.5,13.4,19.8,20.6,18.4,22.5,18,23.2
"2022-06-01 03:35:00.000000000",0,0,\N,977,37,0.51,\N,13.3,13.2,13.42,13.3,13.4,13.3,19.7,20.5,18.3,22.5,18,23.2
"2022-06-01 03:40:00.000000000",0,0,\N,975,37,0.51,\N,13.18,13.1,13.36,13.3,13.4,13.3,19.6,20.4,18.2,22.5,18,23.2
"2022-06-01 03:45:00.000000000",0,0,762620.61,975,37,0.51,4,13.18,13.1,13.36,13.2,13.3,13.2,19.3,20.3,18.1,22.5,18,23.2
"2022-06-01 03:50:00.000000000",0,0,\N,980,37,0.51,\N,13.12,13,13.3,13.2,13.2,13.2,19,20.1,18.1,22.5,18,23.2
"2022-06-01 03:55:00.000000000",0,0,\N,977,37,0.51,\N,13.12,13,13.24,13.1,13.2,13.2,19.1,20,18,22.5,18,23.2
"2022-06-01 04:00:00.000000000",0,0,762620.82,975,37,0.51,4,13.05,13,13.24,13.1,13.2,13.1,19.2,20,18.1,22.5,18,23.2
"2022-06-01 04:05:00.000000000",0,0,\N,977,37,0.51,\N,13.05,13,13.24,13.1,13.2,13.1,19.3,19.9,18.1,22.5,18,23.2
"2022-06-01 04:10:00.000000000",0,0,\N,977,37,0.51,\N,13.12,13,13.24,13.1,13.1,13.1,19.3,19.9,18.2,22.5,18,23.2
"2022-06-01 04:15:00.000000000",0,0,762621.01,977,37,0.51,0,13.12,13,13.3,13.2,13.1,13.1,19.5,19.8,18.2,22.5,18,23.2
"2022-06-01 04:20:00.000000000",0,0,\N,980,37,0.51,\N,13.18,13,13.36,13.2,13.2,13.1,19.6,19.8,18.3,22.5,18,23.2
"2022-06-01 04:25:00.000000000",0,0,\N,977,37,0.51,\N,13.24,13,13.36,13.2,13.2,13.1,19.5,19.8,18.3,22.5,18,23.2
"2022-06-01 04:30:00.000000000",0,0,762621.2,977,37,0.51,4,13.18,13,13.36,13.2,13.2,13.1,19.4,19.8,18.3,22.5,18,23.2
"2022-06-01 04:35:00.000000000",0,0,\N,975,37,0.51,\N,13.18,13,13.36,13.1,13.1,13.1,19.4,19.8,18.3,22.5,18,23.2
"2022-06-01 04:40:00.000000000",0,0,\N,975,37,0.51,\N,13.18,13,13.3,13.1,13.1,13.1,19.4,19.8,18.3,22.5,18,23.2
"2022-06-01 04:45:00.000000000",0,0,762621.41,977,37,0.51,4,13.12,13,13.3,13.1,13.1,13.1,19.3,19.7,18.3,22.5,18,23.2
"2022-06-01 04:50:00.000000000",0,0,\N,975,37,0.51,\N,13.18,13,13.3,13.1,13.1,13.1,19.3,19.7,18.3,22.5,18,23.2
"2022-06-01 04:55:00.000000000",0,0,\N,980,37,0.51,\N,13.18,13,13.3,13.1,13.1,13,19.2,19.7,18.3,22.5,18,23.2
"2022-06-01 05:00:00.000000000",0,0,762621.54,977,37,0.51,4,13.12,13,13.24,13.1,13.1,13,19,19.6,18.3,22.5,18,23.2
"2022-06-01 05:05:00.000000000",0,0,\N,977,37,0.51,\N,13.12,13,13.24,13.1,13.1,13,19,19.6,18.3,22.5,18,23.2
"2022-06-01 05:10:00.000000000",0,0,\N,977,37,0.51,\N,13.05,13,13.24,13.1,13,13,19.1,19.6,18.3,22.5,18,23.2
"2022-06-01 05:15:00.000000000",0,0,762621.73,975,37,0.51,4,13.05,13,13.24,13.1,13,13,19,19.5,18.3,22.5,18,23.2
"2022-06-01 05:20:00.000000000",0,0,\N,975,37,0.51,\N,13.12,13,13.24,13.1,13,13,19,19.6,18.4,22.5,18,23.2
"2022-06-01 05:25:00.000000000",0,0,\N,975,37,0.51,\N,13.12,12.9,13.24,13.1,13,13,19.1,19.5,18.3,22.5,18,23.2
"2022-06-01 05:30:00.000000000",0,0,762621.94,977,37,0.51,0,13.05,12.9,13.24,13,13,13,18.9,19.5,18.3,22.5,18,23.2
"2022-06-01 05:35:00.000000000",0,0,\N,975,38,0.51,\N,13.05,12.9,13.18,13,13,12.9,18.8,19.5,18.2,22.5,18,23.2
"2022-06-01 05:40:00.000000000",0,0,\N,977,38,0.51,\N,13.05,12.9,13.18,13,13,12.9,18.7,19.4,18.1,22.5,18,23.1
"2022-06-01 05:45:00.000000000",0,0,762622.12,980,38,0.51,4,12.99,12.8,13.12,13,13,12.9,18.7,19.3,18,22.5,18,23.2
"2022-06-01 05:50:00.000000000",0,0,\N,975,38,0.51,\N,12.93,12.8,13.05,12.9,12.9,12.8,18.4,19.2,17.9,22.5,18,23.2
